alpha,p,lambda,birth,death,omega,gamma,sigma,beta1,beta2,cum_deaths,max_hospitalizations
0,0.9,0.6,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.005238095238095239,43945.63739579231,10654.289945329116
0,0.9,0.7,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.003928571428571429,39131.168839663114,8035.318623435127
0,0.9,0.8,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0026190476190476185,29613.789081937026,5524.018357638753
0,0.9,0.9,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0013095238095238093,6321.4908528029,2363.428823085467
0,0.9,1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0,253.07317698415383,76.08020482744831
0,1,0,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.013095238095238096,59061.71697218193,25861.93846757818
0,1,0.1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.011785714285714287,57379.827352775756,23366.413472127875
0,1,0.2,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.010476190476190477,55388.94525258842,20777.618285941877
0,1,0.3,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.009166666666666667,53017.91247026179,18103.583053483013
0,1,0.4,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.007857142857142858,50174.49411710665,15359.094921257485
0,1,0.5,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.006547619047619048,46735.54864140071,12569.200414446932
0,1,0.6,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.005238095238095239,42501.585284604786,9774.637609081241
0,1,0.7,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.003928571428571429,36550.992568869995,7040.608719112661
0,1,0.8,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0026190476190476185,19813.245614156618,4470.979952010551
0,1,0.9,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0013095238095238093,1359.7035033644631,511.28427332720133
0,1,1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0,40.46135169477849,8.0031517057822
0.1,0,0,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.013095238095238096,59061.71697217816,25861.938467581644
0.1,0,0.1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.011785714285714287,59061.71697217816,25861.938467581644
0.1,0,0.2,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.010476190476190477,59061.71697217816,25861.938467581644
0.1,0,0.3,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.009166666666666667,59061.71697217816,25861.938467581644
0.1,0,0.4,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.007857142857142858,59061.71697217816,25861.938467581644
0.1,0,0.5,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.006547619047619048,59061.71697217816,25861.938467581644
0.1,0,0.6,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.005238095238095239,59061.71697217816,25861.938467581644
0.1,0,0.7,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.003928571428571429,59061.71697217816,25861.938467581644
0.1,0,0.8,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0026190476190476185,59061.71697217816,25861.938467581644
0.1,0,0.9,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0013095238095238093,59061.71697217816,25861.938467581644
0.1,0,1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0,59061.71697217816,25861.938467581644
0.1,0.1,0,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.013095238095238096,58775.90003444664,25414.877919176208
0.1,0.1,0.1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.011785714285714287,58484.47259501763,24969.20913316773
0.1,0.1,0.2,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.010476190476190477,58184.250780468865,24520.428406017105
0.1,0.1,0.3,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.009166666666666667,57874.91545160501,24068.533665660663
0.1,0.1,0.4,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.007857142857142858,57556.13339728434,23613.547173690302
0.1,0.1,0.5,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.006547619047619048,57227.5565878606,23155.511910534184
0.1,0.1,0.6,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.005238095238095239,56888.82138153968,22694.453475240094
0.1,0.1,0.7,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.003928571428571429,56539.54768001326,22230.41846033458
0.1,0.1,0.8,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0026190476190476185,56179.33802930454,21763.422728885795
0.1,0.1,0.9,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0013095238095238093,55807.77666121675,21293.52262404302
0.1,0.1,1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0,55424.4284700595,20820.78635320257
0.1,0.2,0,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.013095238095238096,58531.12704612233,25039.90070987613
0.1,0.2,0.1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.011785714285714287,57980.77510095123,24222.015615250246
0.1,0.2,0.2,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.010476190476190477,57399.52642967826,23393.9020876356
0.1,0.2,0.3,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.009166666666666667,56785.277482229176,22555.721634721427
0.1,0.2,0.4,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.007857142857142858,56135.74908387609,21707.686318086602
0.1,0.2,0.5,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.006547619047619048,55448.46859258619,20850.085682698642
0.1,0.2,0.6,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.005238095238095239,54720.74983418209,19983.240689991755
0.1,0.2,0.7,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.003928571428571429,53949.670399381524,19107.5591326328
0.1,0.2,0.8,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0026190476190476185,53132.04569036802,18223.54843507365
0.1,0.2,0.9,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0013095238095238093,52264.39867413926,17331.791276420805
0.1,0.2,1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0,51342.92332611119,16433.011393541005
0.1,0.3,0,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.013095238095238096,58319.18746234873,24720.890518339445
0.1,0.3,0.1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.011785714285714287,57537.76384779401,23587.685636338294
0.1,0.3,0.2,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.010476190476190477,56694.82917120278,22435.353400821346
0.1,0.3,0.3,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.009166666666666667,55784.4674895909,21264.461038365454
0.1,0.3,0.4,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.007857142857142858,54800.059214772475,20075.76100168341
0.1,0.3,0.5,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.006547619047619048,53734.17782867799,18870.27522491264
0.1,0.3,0.6,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.005238095238095239,52578.46636782423,17649.312383449393
0.1,0.3,0.7,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.003928571428571429,51323.484441421366,16414.563972141386
0.1,0.3,0.8,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0026190476190476185,49958.50208264353,15168.15557330683
0.1,0.3,0.9,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0013095238095238093,48471.16716478658,13912.747941175005
0.1,0.3,1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0,46846.7946970798,12651.654276301006
0.1,0.4,0,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.013095238095238096,58133.91424397885,24446.203530932304
0.1,0.4,0.1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.011785714285714287,57145.3182673945,23042.599326849282
0.1,0.4,0.2,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.010476190476190477,56059.315249806656,21610.373646440232
0.1,0.4,0.3,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.009166666666666667,54864.10074590379,20150.813964978977
0.1,0.4,0.4,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.007857142857142858,53546.08690711311,18665.710441649248
0.1,0.4,0.5,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.006547619047619048,52089.56237110137,17157.56373041649
0.1,0.4,0.6,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.005238095238095239,50476.24678225708,15629.75738924653
0.1,0.4,0.7,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.003928571428571429,48684.60941711732,14086.743680602825
0.1,0.4,0.8,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0026190476190476185,46688.39464893906,12534.410941144575
0.1,0.4,0.9,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0013095238095238093,44451.675986223425,10980.399185497292
0.1,0.4,1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0,41906.831636198425,9434.638147708603
0.1,0.5,0,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.013095238095238096,57970.58816917034,24207.227955071055
0.1,0.5,0.1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.011785714285714287,56795.39463167563,22569.264464102744
0.1,0.5,0.2,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.010476190476190477,55483.80692240049,20893.263176919125
0.1,0.5,0.3,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.009166666666666667,54016.2388129963,19181.523142212005
0.1,0.5,0.4,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.007857142857142858,52369.56916641738,17437.48403946957
0.1,0.5,0.5,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.006547619047619048,50516.30326937614,15666.029259455723
0.1,0.5,0.6,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.005238095238095239,48423.27167870111,13873.98128990121
0.1,0.5,0.7,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.003928571428571429,46048.528348456224,12070.693688203119
0.1,0.5,0.8,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0026190476190476185,43328.145410019206,10268.875846501272
0.1,0.5,0.9,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0013095238095238093,40097.75837532857,8485.70572181235
0.1,0.5,1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0,35589.65095301667,6744.363612502388
0.1,0.6,0,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.013095238095238096,57825.538077527184,23997.409559395226
0.1,0.6,0.1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.011785714285714287,56481.53559373289,22154.47234347858
0.1,0.6,0.2,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.010476190476190477,54960.55241334884,20264.431867296713
0.1,0.6,0.3,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.009166666666666667,53233.59766818621,18330.99145744921
0.1,0.6,0.4,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.007857142857142858,51265.659089436376,16359.80403917998
0.1,0.6,0.5,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.006547619047619048,49013.9341012949,14359.172912942142
0.1,0.6,0.6,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.005238095238095239,46424.128300770746,12340.985300354741
0.1,0.6,0.7,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.003928571428571429,43414.65191685077,10322.044357495031
0.1,0.6,0.8,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0026190476190476185,39764.83626432428,8325.920421206312
0.1,0.6,0.9,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.0013095238095238093,34233.02437900354,6385.585759649844
0.1,0.6,1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0,20687.346832579467,4547.21470480813
0.1,0.7,0,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.013095238095238096,57695.86614252199,23811.738254321233
0.1,0.7,0.1,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.011785714285714287,56198.506859420515,21788.033170100585
0.1,0.7,0.2,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.010476190476190477,54482.997933471524,19708.720442454945
0.1,0.7,0.3,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.009166666666666667,52509.608100691,17579.215730998538
0.1,0.7,0.4,0,0,0,0.005952380952380952,0.013888888888888888,0.013095238095238096,0.007857142857142858,50229.335740157396,15407.9759078284
